NASDAQ,AMTD,2006-01-25,6.0
NASDAQ,AHGP,2009-11-09,0.44
NASDAQ,AHGP,2009-08-10,0.428
NASDAQ,AHGP,2009-05-11,0.415
NASDAQ,AHGP,2009-02-10,0.403
NASDAQ,AHGP,2008-11-07,0.39
NASDAQ,AHGP,2008-08-08,0.353
NASDAQ,AHGP,2008-05-09,0.288
NASDAQ,AHGP,2008-02-08,0.288
NASDAQ,AHGP,2007-11-07,0.265
NASDAQ,AHGP,2007-08-08,0.265
NASDAQ,AHGP,2007-05-09,0.25
NASDAQ,AHGP,2007-02-07,0.25
NASDAQ,AHGP,2006-11-07,0.215
NASDAQ,AHGP,2006-08-09,0.215
NASDAQ,ALEX,2009-11-03,0.315
NASDAQ,ALEX,2009-08-04,0.315
NASDAQ,ALEX,2009-05-12,0.315
NASDAQ,ALEX,2009-02-11,0.315
NASDAQ,ALEX,2008-11-04,0.315
NASDAQ,AFCE,2005-06-06,12.0
NASDAQ,ASRVP,2009-12-28,0.528
NASDAQ,ASRVP,2009-09-25,0.528
NASDAQ,ASRVP,2009-06-25,0.528
NASDAQ,ASRVP,2009-03-26,0.528
NASDAQ,ASRVP,2008-12-26,0.528
NASDAQ,ASRVP,2008-09-25,0.528
NASDAQ,ASRVP,2008-06-25,0.528
NASDAQ,ASRVP,2008-03-26,0.528
NASDAQ,ASRVP,2007-12-26,0.528
NASDAQ,ASRVP,2007-09-26,0.528
NASDAQ,ASRVP,2007-06-27,0.528
NASDAQ,ASRVP,2007-03-28,0.528
NASDAQ,ASRVP,2006-12-26,0.528
NASDAQ,ASRVP,2006-09-27,0.528
NASDAQ,ASRVP,2006-06-28,0.528
NASDAQ,ASRVP,2006-03-28,0.528
NASDAQ,ASRVP,2005-12-28,0.528
NASDAQ,ASRVP,2005-09-27,0.528
NASDAQ,ASRVP,2005-06-27,0.528
NASDAQ,ASRVP,2005-03-28,0.528
NASDAQ,ASRVP,2004-12-28,0.528
NASDAQ,ASRVP,2004-09-27,0.528
NASDAQ,ASRVP,2004-06-25,0.528
NASDAQ,ASRVP,2004-03-26,0.528
NASDAQ,ASRVP,2003-12-26,0.528
NASDAQ,ASRVP,2003-09-25,0.528
NASDAQ,ASRVP,2003-06-25,0.528
NASDAQ,ASRVP,2003-03-26,0.528
NASDAQ,ASRVP,2002-12-26,0.528
NASDAQ,ASRVP,2002-09-25,0.528
NASDAQ,ASRVP,2002-06-26,0.528
NASDAQ,ASRVP,2002-03-26,0.528
NASDAQ,ASRVP,2001-12-26,0.528
NASDAQ,ASRVP,2001-09-26,0.528
NASDAQ,ASRVP,2001-06-27,0.528
NASDAQ,ASRVP,2001-03-28,0.528
NASDAQ,ASRVP,2000-12-27,0.528
NASDAQ,ASRVP,2000-09-27,0.528
NASDAQ,ASRVP,2000-06-27,0.528
NASDAQ,ASRVP,2000-03-28,0.528
NASDAQ,ASRVP,1999-12-28,0.528
NASDAQ,ASRVP,1999-09-28,0.528
NASDAQ,ACXM,2008-08-19,0.06
NASDAQ,ACXM,2008-05-30,0.06
NASDAQ,ACXM,2008-02-21,0.06
NASDAQ,ACXM,2007-11-01,0.06
NASDAQ,ACXM,2007-02-08,0.06
NASDAQ,ACXM,2006-11-09,0.06
NASDAQ,ACXM,2006-08-10,0.05
NASDAQ,ACXM,2006-06-08,0.05
NASDAQ,ACXM,2006-02-15,0.05
NASDAQ,ACXM,2005-11-09,0.05
NASDAQ,ACXM,2005-08-11,0.05
NASDAQ,ACXM,2005-06-02,0.05
NASDAQ,ACXM,2005-02-10,0.05
NASDAQ,ACXM,2004-11-04,0.04
NASDAQ,ACXM,2004-08-05,0.04
NASDAQ,ACXM,2004-06-03,0.04
NASDAQ,ACXM,2004-02-11,0.04
NASDAQ,ASFN,2008-07-30,0.03
NASDAQ,ASFN,2008-04-29,0.03
NASDAQ,ASFN,2008-01-30,0.03
NASDAQ,AMFI,2008-08-28,0.185
